адрес собственной дачи	0
адрес верхнего парка	0
адрес александрийского парка	1
адрес александровского парка	1
адрес михайловской дачи	0
адрес аллеи фонтанов	1
адрес английского дворца	0
адрес меншиковсокго дворца	0
адрес дворца "Бельведер"	1
адрес дворца Бобринских	1
адрес дворца пушнины	1
адрес дворца императора петра II	1
адрес каменностровского дворца	1
адрес дворца культуры им. кирова	1
адрес львовского дворца	1
адрес мариинского дворца	1
адрес дворца Марли	1
адрес Эрмитажа	1
какие музеи находятся на ул садовая	1
какие музеи находятся на садовой	0
какие музеи находятся на суворовском проспекте	1
какие музеи находятся на улице пестеля	0
какие музеи находятся на свечном	1
какие музеи находятся на елагином острове	1
какие музеи находятся на площади свободы	1
какие музеи находятся на невском	1
какие музеи находятся на ул жуковского	1
какие музеи находятся на набережной фонтанки	0
какие музеи находятся на наб реки фонтанки	0
какие музеи находятся на петроградской набережной	1
какие музеи находятся на петроградской	1
какие музеи находятся на рубинштейна	1
какие музеи находятся на большой морской	0
какие музеи находятся на канале грибоедова	0
какие музеи находятся на лиговском проспекте	1
какие музеи находятся в петергофе	1
какие музеи находятся в ломоносове	1
какие музеи находятся красном селе	1
какие музеи находятся пушкине	1
какие парки находятся на ул садовая	1
какие парки находятся в г ломоносов	1
какие парки находятся в г пушкин	1
какие парки находятся в г красное село	1
какие парки находятся на ул глинки	1
какие парки находятся на набережной реки мойки	1
какие парки находятся на наб мойки	1
какие парки находятся в г петергоф	1
какие парки находятся в стрельне	1
какие памятники находятся на ул садовая	1
какие памятники находятся в стрельне	0
какие памятники находятся в ломоносове	0
какие памятники находятся на ул рубинштейна	0
какие памятники находятся на милионной улице	1
какие памятники находятся в адмиралтейском районе	0
какие памятники находятся в василеостровском районе	0
какие памятники находятся в выборгском районе	1
какие памятники находятся в калининском районе	1
какие памятники находятся в кировском районе	0
какие памятники находятся в колпинском районе	1
какие музеи находятся в адмиралтейском районе	0
какие музеи находятся в василеостровском районе	1
какие музеи находятся в выборгском районе	1
какие музеи находятся в калининском районе	1
какие музеи находятся в кировском районе	0
какие музеи находятся в колпинском районе	1
какие парки находятся в адмиралтейском районе	1
какие парки находятся в василеостровском районе	0
какие парки находятся в выборгском районе	0
какие парки находятся в калининском районе	1
какие парки находятся в кировском районе	1
какие парки находятся в колпинском районе	0
какие дворцы находятся в адмиралтейском районе	1
какие дворцы находятся в василеостровском районе	1
какие дворцы находятся в выборгском районе	0
какие дворцы находятся в калининском районе	1
какие дворцы находятся в кировском районе	0
какие дворцы находятся в колпинском районе	0
сколько памятников находится в адмиралтейском районе	1
сколько памятников находится в василеостровском районе	0
сколько памятников находится в выборгском районе	1
сколько памятников находится в калининском районе	0
сколько памятников находится в кировском районе	0
сколько памятников находится в колпинском районе	0
сколько музеев находится в адмиралтейском районе	0
сколько музеев находится в василеостровском районе	1
сколько музеев находится в выборгском районе	0
сколько музеев находится в калининском районе	0
сколько музеев находится в кировском районе	1
сколько музеев находится в колпинском районе	1
сколько парков находится в адмиралтейском районе	0
сколько парков находится в василеостровском районе	0
сколько парков находится в выборгском районе	1
сколько парков находится в калининском районе	0
сколько парков находится в кировском районе	0
сколько парков находится в колпинском районе	1
сколько дворцов находится в адмиралтейском районе	1
сколько дворцов находится в василеостровском районе	1
сколько дворцов находится в выборгском районе	1
сколько дворцов находится в калининском районе	0
сколько дворцов находится в кировском районе	0
сколько дворцов находится в колпинском районе	0
сколько музеев находится на ул рубинштейна	1
сколько музеев находится на ул садовая	1
сколько музеев находится в петергофе	1
сколько музеев находится в пушкине	0
сколько памятников находится в ломоносове	0
сколько памятников находится на лиговском проспекте	0
сколько парков в петергофе	1
какие парки есть в петергофе	1
какой парк находится по адресу ул садовая, 1	1
какой музей находится по адресу лиговский пр, 5	1
какие музеи есть в ломоносове	1
памятники пушкина	0
памятники ленину	0
что такое нижний парк	0
дворец меншикова	1
верхний парк	1
эрмитаж	1
